Killing processes on ports 7110, 7111, and 7112...
clearing store & authors
Cleanup completed
CRAWLER | THROUGHPUT | node: fa3de | startTime: 38581.730476 | endTime: 54926.706442 | elapsedTime: 16344.975966000005 | urlCount: 639
CRAWLER | LATENCY | node: fa3de | startTime: 38581.730476 | endTime: 54926.706442 | elapsedTime: 16344.975966000005 | urlCount: 639
CRAWLER | THROUGHPUT | node: 69d79 | startTime: 38154.794726 | endTime: 56225.727651 | elapsedTime: 18070.932925 | urlCount: 603
CRAWLER | LATENCY | node: 69d79 | startTime: 38154.794726 | endTime: 56225.727651 | elapsedTime: 18070.932925 | urlCount: 603
CRAWLER | THROUGHPUT | node: 0e5f3 | startTime: 38292.229559 | endTime: 56916.307984 | elapsedTime: 18624.078425 | urlCount: 670
CRAWLER | LATENCY | node: 0e5f3 | startTime: 38292.229559 | endTime: 56916.307984 | elapsedTime: 18624.078425 | urlCount: 670
INDEXER | THROUGHPUT | node: c65b0 | startTime: 65194.587946 | endTime: 76973.588035 | elapsedTime: 11779.000088999994 | urlCount: 734
INDEXER | LATENCY | node: c65b0 | startTime: 65194.587946 | endTime: 76973.588035 | elapsedTime: 11779.000088999994 | urlCount: 734
INDEXER | THROUGHPUT | node: 69d79 | startTime: 64621.780737 | endTime: 76404.954368 | elapsedTime: 11783.173631000005 | urlCount: 774
INDEXER | LATENCY | node: 69d79 | startTime: 64621.780737 | endTime: 76404.954368 | elapsedTime: 11783.173631000005 | urlCount: 774
INDEXER | THROUGHPUT | node: fa3de | startTime: 65044.449071 | endTime: 76836.895577 | elapsedTime: 11792.446506 | urlCount: 798
INDEXER | LATENCY | node: fa3de | startTime: 65044.449071 | endTime: 76836.895577 | elapsedTime: 11792.446506 | urlCount: 798
INDEXER | THROUGHPUT | node: 0e5f3 | startTime: 64759.585654 | endTime: 76553.303993 | elapsedTime: 11793.718338999992 | urlCount: 773
INDEXER | LATENCY | node: 0e5f3 | startTime: 64759.585654 | endTime: 76553.303993 | elapsedTime: 11793.718338999992 | urlCount: 773
INDEXER | THROUGHPUT | node: 7ff68 | startTime: 64900.413571 | endTime: 76715.47091 | elapsedTime: 11815.057339000006 | urlCount: 769
INDEXER | LATENCY | node: 7ff68 | startTime: 64900.413571 | endTime: 76715.47091 | elapsedTime: 11815.057339000006 | urlCount: 769
starting round: 5
CRAWLER | THROUGHPUT | node: 69d79 | startTime: 87717.824207 | endTime: 105973.895506 | elapsedTime: 18256.071299000003 | urlCount: 968
CRAWLER | LATENCY | node: 69d79 | startTime: 87717.824207 | endTime: 105973.895506 | elapsedTime: 18256.071299000003 | urlCount: 968
CRAWLER | THROUGHPUT | node: fa3de | startTime: 88143.867957 | endTime: 106614.096548 | elapsedTime: 18470.228591000006 | urlCount: 910
CRAWLER | LATENCY | node: fa3de | startTime: 88143.867957 | endTime: 106614.096548 | elapsedTime: 18470.228591000006 | urlCount: 910
CRAWLER | THROUGHPUT | node: 0e5f3 | startTime: 87854.598707 | endTime: 110720.07105 | elapsedTime: 22865.472343 | urlCount: 1003
CRAWLER | LATENCY | node: 0e5f3 | startTime: 87854.598707 | endTime: 110720.07105 | elapsedTime: 22865.472343 | urlCount: 1003
CRAWLER | THROUGHPUT | node: c65b0 | startTime: 88293.450624 | endTime: 114657.108511 | elapsedTime: 26363.657886999994 | urlCount: 1118
CRAWLER | LATENCY | node: c65b0 | startTime: 88293.450624 | endTime: 114657.108511 | elapsedTime: 26363.657886999994 | urlCount: 1118
INDEXER | THROUGHPUT | node: 69d79 | startTime: 117584.493595 | endTime: 130422.442475 | elapsedTime: 12837.948879999996 | urlCount: 1924
INDEXER | LATENCY | node: 69d79 | startTime: 117584.493595 | endTime: 130422.442475 | elapsedTime: 12837.948879999996 | urlCount: 1924
INDEXER | THROUGHPUT | node: 0e5f3 | startTime: 117721.935428 | endTime: 130561.933642 | elapsedTime: 12839.998214000007 | urlCount: 1875
INDEXER | LATENCY | node: 0e5f3 | startTime: 117721.935428 | endTime: 130561.933642 | elapsedTime: 12839.998214000007 | urlCount: 1875
INDEXER | THROUGHPUT | node: fa3de | startTime: 118011.914387 | endTime: 130876.835976 | elapsedTime: 12864.921589000005 | urlCount: 1957
INDEXER | LATENCY | node: fa3de | startTime: 118011.914387 | endTime: 130876.835976 | elapsedTime: 12864.921589000005 | urlCount: 1957
INDEXER | THROUGHPUT | node: 7ff68 | startTime: 117863.40022 | endTime: 130741.434476 | elapsedTime: 12878.034255999999 | urlCount: 1862
INDEXER | LATENCY | node: 7ff68 | startTime: 117863.40022 | endTime: 130741.434476 | elapsedTime: 12878.034255999999 | urlCount: 1862
INDEXER | THROUGHPUT | node: c65b0 | startTime: 118163.930721 | endTime: 132116.943102 | elapsedTime: 13953.012380999993 | urlCount: 1854
INDEXER | LATENCY | node: c65b0 | startTime: 118163.930721 | endTime: 132116.943102 | elapsedTime: 13953.012380999993 | urlCount: 1854
Welcome to a Distributed Book Search

> Exiting REPL
